id,aff,聊天id,face,service,内容,状态,拒绝原因,创建时间,更新时间
"1159","82245559","308180","5","5","通过呀","待审核","","2026-03-31 22:32:58","2026-03-31 22:32:58"
"1158","504421025","348268","5","5","不太行","待审核","","2026-03-31 16:25:32","2026-03-31 16:25:32"
"1157","492453947","314927","5","5","咋联系也没么写清楚","待审核","","2026-03-31 13:19:57","2026-03-31 13:19:57"
"1156","504373997","344209","5","5","假的","待审核","","2026-03-30 23:11:38","2026-03-30 23:11:38"
"1155","30000395","292502","5","5","假的，中介骗人","待审核","","2026-03-30 18:50:25","2026-03-30 18:50:25"
"1154","471078265","335402","5","5","纯粹的套路骗人！","待审核","","2026-03-30 17:44:49","2026-03-30 17:44:49"
"1153","97876214","326987","5","5","假的","待审核","","2026-03-30 15:49:14","2026-03-30 15:49:14"
"1152","486000695","347770","5","5","怎么联系","待审核","","2026-03-30 08:11:26","2026-03-30 08:11:26"
"1151","475505595","339963","5","5","一点也不真。。图片仅供参考","待审核","","2026-03-29 22:53:34","2026-03-29 22:53:34"
"1150","503472427","338404","5","5","不是本地的呢","待审核","","2026-03-29 11:03:06","2026-03-29 11:03:06"
"1149","490666047","301948","5","5","没在本地，没约上","待审核","","2026-03-29 07:42:44","2026-03-29 07:42:44"
"1148","269942598","346339","5","5","怎么加你","待审核","","2026-03-28 15:06:13","2026-03-28 15:06:13"
"1147","468586039","346877","5","5","骂人比较专业","待审核","","2026-03-28 12:24:53","2026-03-28 12:24:53"
"1146","468586039","346877","5","5","这是个骗费的。。。满星好评，拉黑骂你，比较专业。","待审核","","2026-03-28 12:22:49","2026-03-28 12:22:49"
"1145","388801448","287818","5","5","QQ加不了的","待审核","","2026-03-28 03:26:26","2026-03-28 03:26:26"
"1144","53850467","317501","5","5","金额不符","待审核","","2026-03-27 01:17:01","2026-03-27 01:17:01"
"1143","128184003","307692","5","5","账号被封控，加不了，申请退款。","待审核","","2026-03-26 20:29:19","2026-03-26 20:29:19"
"1142","128184003","307692","5","5","你这账号被封控了，加不了。","待审核","","2026-03-26 20:27:29","2026-03-26 20:27:29"
"1141","501254326","296009","5","5","加不了搞我呢","待审核","","2026-03-26 01:38:24","2026-03-26 01:38:24"
"1140","501254326","296009","5","5","加不了呢","待审核","","2026-03-26 01:25:25","2026-03-26 01:25:25"
"1139","84200597","336909","5","5","联系不上","待审核","","2026-03-25 23:47:34","2026-03-25 23:47:34"
"1138","495052453","341706","5","5","联系不到根本","待审核","","2026-03-25 22:03:44","2026-03-25 22:03:44"
"1137","495052453","341706","5","5","无法联系怎么回事","待审核","","2026-03-25 22:03:14","2026-03-25 22:03:14"
"1136","338699124","276962","5","5","都是套路","待审核","","2026-03-25 15:41:08","2026-03-25 15:41:08"
"1135","60782153","343418","5","5","金币都付了，联系不上","待审核","","2026-03-25 02:15:01","2026-03-25 02:15:01"
"1134","373375113","332780","5","5","在","待审核","","2026-03-24 22:55:37","2026-03-24 22:55:37"
"1133","500494696","343382","5","5","15396249027联系方式","待审核","","2026-03-24 22:52:49","2026-03-24 22:52:49"
"1132","500494696","343382","5","5","怎么联系","待审核","","2026-03-24 22:49:56","2026-03-24 22:49:56"
"1131","431955546","329336","5","5","太假了 图片跟真人严重不符 现实就是一个老妈子","待审核","","2026-03-24 21:20:13","2026-03-24 21:20:13"
"1130","402714036","332328","5","5","别来，特么的图片与实际完全不是一个人，忽悠人呢","待审核","","2026-03-24 17:25:58","2026-03-24 17:25:58"
"1129","351826311","340811","5","5","货不对板，差点意思","待审核","","2026-03-24 13:39:44","2026-03-24 13:39:44"
"1128","355786527","343557","5","5","可以吗","待审核","","2026-03-24 01:11:13","2026-03-24 01:11:13"
"1127","430136054","276105","5","5","？","待审核","","2026-03-24 00:52:05","2026-03-24 00:52:05"
"1126","484369085","292652","5","5","我在县城安排不了的话给我退一下可以吗","待审核","","2026-03-24 00:28:53","2026-03-24 00:28:53"
"1125","484369085","292652","5","5","大哥能给我退一下吗","待审核","","2026-03-24 00:28:19","2026-03-24 00:28:19"
"1124","484369085","292652","5","5","退一下定金哥","待审核","","2026-03-24 00:13:39","2026-03-24 00:13:39"
"1123","450830583","341386","5","5","假的","待审核","","2026-03-23 23:04:37","2026-03-23 23:04:37"
"1122","450830583","342659","5","5","假的","待审核","","2026-03-23 23:04:26","2026-03-23 23:04:26"
"1121","436566950","335932","5","5","假的兄弟们","待审核","","2026-03-23 02:25:23","2026-03-23 02:25:23"
"1120","488217529","314672","5","5","，100定金交了就没了，虚假信息，市内根本没有楼f","待审核","","2026-03-23 01:41:54","2026-03-23 01:41:54"
"1119","326024060","336857","5","5","没有啪啪，还一直推销.太坑了","待审核","","2026-03-23 01:28:15","2026-03-23 01:28:15"
"1118","275430867","303405","5","5","别去，800屁都么，垃圾","待审核","","2026-03-22 20:17:19","2026-03-22 20:17:19"
